"FREQ";"Y";"r xyce/I(PR3)";"i xyce/I(PR3)"
-2.5e+11;0.00049196;-2.51796e-11;-8.18723e-10
-2e+11;0.00049196;-1.01631e-08;-1.95427e-09
-1.5e+11;0.00049196;-2.31549e-07;1.9435e-07
-1e+11;0.00049196;6.76979e-07;7.79224e-06
-5e+10;0.00049196;-0.00131235;-0.000750833
0;0.00049196;1.29987e-19;0
5e+10;0.00049196;-0.00131235;0.000750833
1e+11;0.00049196;6.76979e-07;-7.79224e-06
1.5e+11;0.00049196;-2.31549e-07;-1.9435e-07
2e+11;0.00049196;-1.01631e-08;1.95427e-09
2.5e+11;0.00049196;-2.51796e-11;8.18723e-10
-2.5e+11;0.000511558;-3.21838e-11;-9.95579e-10
-2e+11;0.000511558;-1.19184e-08;-2.30526e-09
-1.5e+11;0.000511558;-2.60812e-07;2.18565e-07
-1e+11;0.000511558;7.34077e-07;8.43053e-06
-5e+10;0.000511558;-0.00136451;-0.000780705
0;0.000511558;2.11666e-19;0
5e+10;0.000511558;-0.00136451;0.000780705
1e+11;0.000511558;7.34077e-07;-8.43053e-06
1.5e+11;0.000511558;-2.60812e-07;-2.18565e-07
2e+11;0.000511558;-1.19184e-08;2.30526e-09
2.5e+11;0.000511558;-3.21838e-11;9.95579e-10
-2.5e+11;0.000531156;-4.086e-11;-1.20193e-09
-2e+11;0.000531156;-1.3897e-08;-2.70435e-09
-1.5e+11;0.000531156;-2.92503e-07;2.44722e-07
-1e+11;0.000531156;7.93725e-07;9.09463e-06
-5e+10;0.000531156;-0.00141665;-0.000810572
0;0.000531156;-1.27233e-19;0
5e+10;0.000531156;-0.00141665;0.000810572
1e+11;0.000531156;7.93725e-07;-9.09463e-06
1.5e+11;0.000531156;-2.92503e-07;-2.44722e-07
2e+11;0.000531156;-1.3897e-08;2.70435e-09
2.5e+11;0.000531156;-4.086e-11;1.20193e-09
-2.5e+11;0.000550754;-5.15384e-11;-1.4414e-09
-2e+11;0.000550754;-1.61183e-08;-3.15642e-09
-1.5e+11;0.000550754;-3.26733e-07;2.729e-07
-1e+11;0.000550754;8.55958e-07;9.78468e-06
-5e+10;0.000550754;-0.00146877;-0.000840437
0;0.000550754;2.4376e-20;0
5e+10;0.000550754;-0.00146877;0.000840437
1e+11;0.000550754;8.55958e-07;-9.78468e-06
1.5e+11;0.000550754;-3.26733e-07;-2.729e-07
2e+11;0.000550754;-1.61183e-08;3.15642e-09
2.5e+11;0.000550754;-5.15384e-11;1.4414e-09
-2.5e+11;0.000570352;-6.45994e-11;-1.7179e-09
-2e+11;0.000570352;-1.86028e-08;-3.66676e-09
-1.5e+11;0.000570352;-3.63611e-07;3.03177e-07
-1e+11;0.000570352;9.20811e-07;1.05008e-05
-5e+10;0.000570352;-0.00152088;-0.000870298
0;0.000570352;-2.63667e-20;0
5e+10;0.000570352;-0.00152088;0.000870298
1e+11;0.000570352;9.20811e-07;-1.05008e-05
1.5e+11;0.000570352;-3.63611e-07;-3.03177e-07
2e+11;0.000570352;-1.86028e-08;3.66676e-09
2.5e+11;0.000570352;-6.45994e-11;1.7179e-09
-2.5e+11;0.00058995;-8.04791e-11;-2.03566e-09
-2e+11;0.00058995;-2.13724e-08;-4.24107e-09
-1.5e+11;0.00058995;-4.03252e-07;3.35632e-07
-1e+11;0.00058995;9.88317e-07;1.12431e-05
-5e+10;0.00058995;-0.00157298;-0.000900155
0;0.00058995;1.15821e-19;0
5e+10;0.00058995;-0.00157298;0.000900155
1e+11;0.00058995;9.88317e-07;-1.12431e-05
1.5e+11;0.00058995;-4.03252e-07;-3.35632e-07
2e+11;0.00058995;-2.13724e-08;4.24107e-09
2.5e+11;0.00058995;-8.04791e-11;2.03566e-09
-2.5e+11;0.000609548;-9.96741e-11;-2.39929e-09
-2e+11;0.000609548;-2.44497e-08;-4.88547e-09
-1.5e+11;0.000609548;-4.45772e-07;3.70346e-07
-1e+11;0.000609548;1.05851e-06;1.20118e-05
-5e+10;0.000609548;-0.00162505;-0.00093001
0;0.000609548;2.38788e-20;0
5e+10;0.000609548;-0.00162505;0.00093001
1e+11;0.000609548;1.05851e-06;-1.20118e-05
1.5e+11;0.000609548;-4.45772e-07;-3.70346e-07
2e+11;0.000609548;-2.44497e-08;4.88547e-09
2.5e+11;0.000609548;-9.96741e-11;2.39929e-09
-2.5e+11;0.000629146;-1.22747e-10;-2.81371e-09
-2e+11;0.000629146;-2.7859e-08;-5.60657e-09
-1.5e+11;0.000629146;-4.91287e-07;4.07399e-07
-1e+11;0.000629146;1.13144e-06;1.2807e-05
-5e+10;0.000629146;-0.00167712;-0.000959862
0;0.000629146;1.03455e-19;0
5e+10;0.000629146;-0.00167712;0.000959862
1e+11;0.000629146;1.13144e-06;-1.2807e-05
1.5e+11;0.000629146;-4.91287e-07;-4.07399e-07
2e+11;0.000629146;-2.7859e-08;5.60657e-09
2.5e+11;0.000629146;-1.22747e-10;2.81371e-09
-2.5e+11;0.000648744;-1.50333e-10;-3.28427e-09
-2e+11;0.000648744;-3.16257e-08;-6.41146e-09
-1.5e+11;0.000648744;-5.39919e-07;4.46874e-07
-1e+11;0.000648744;1.20712e-06;1.36288e-05
-5e+10;0.000648744;-0.00172916;-0.000989711
0;0.000648744;1.22772e-19;0
5e+10;0.000648744;-0.00172916;0.000989711
