# Logfile created on 2025-09-01 14:28:35 +0200 by logger.rb/v1.4.3
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : recog_esd has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : recog_diode has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : recog_tsv has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : recog_iprobe has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : recog_diffprb has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : recog_pillar has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : recog_sbump has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : recog_otp has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : recog_pdiode has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : recog_mom has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : recog_pcm has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : colopen_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : graphmetal1_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : graphmetal1_filler has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : graphmetal1_nofill has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : graphmetal1_slit has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : graphmetal1_opc has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : graphmet1l_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : graphmet1l_filler has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : graphmet1l_nofill has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : graphmet1l_slit has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : graphmet1l_opc has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : extblock_drw has 9 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : nldd_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : pldd_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : next_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : pext_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : nexthv_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : pexthv_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : graphgate_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : sinwg_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : sinwg_filler has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : sinwg_nofill has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : mempad_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : topvia1_drw has 20390 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : topmetal1_drw has 88 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : topmetal1_pin has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : topmetal1_mask has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : topmetal1_filler has 2868 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : topmetal1_nofill has 15 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : topmetal1_slit has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : topmetal1_text has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : topmetal1_noqrc has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : topmetal1_res has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : topmetal1_iprobe has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : topmetal1_diffprb has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : inldpwl_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : polyres_drw has 3 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : polyres_pin has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : vmim_drw has 819 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : nbulaycut_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : antmetal1_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443908K) : topvia2_drw has 4693 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443908K) : topmetal2_drw has 120 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443908K) : topmetal2_pin has 5 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443908K) : topmetal2_mask has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444164K) : topmetal2_filler has 2442 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444164K) : topmetal2_nofill has 16 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444164K) : topmetal2_slit has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444164K) : topmetal2_text has 5 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444164K) : topmetal2_noqrc has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444164K) : topmetal2_res has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444164K) : topmetal2_iprobe has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444420K) : topmetal2_diffprb has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444420K) : snsring_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444420K) : sensor_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444420K) : snsarms_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444420K) : snscmosvia_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444420K) : colwind_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444420K) : flm_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444676K) : hafniumox_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444676K) : memvia_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444676K) : thinfilmres_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444676K) : rfmem_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444676K) : norcx_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444676K) : norcx_m2m3 has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444932K) : norcx_m2m4 has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444932K) : norcx_m2m5 has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444932K) : norcx_m2tm1 has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444932K) : norcx_m2tm2 has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444932K) : norcx_m3m4 has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (444932K) : norcx_m3m5 has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445188K) : norcx_m3tm1 has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445188K) : norcx_m3tm2 has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445188K) : norcx_m4m5 has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445188K) : norcx_m4tm1 has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445188K) : norcx_m4tm2 has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445188K) : norcx_m5tm1 has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445444K) : norcx_m5tm2 has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445444K) : norcx_tm1tm2 has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445444K) : norcx_m1sub has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445444K) : norcx_m2sub has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445444K) : norcx_m3sub has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445444K) : norcx_m4sub has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445700K) : norcx_m5sub has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445700K) : norcx_tm1sub has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445700K) : norcx_tm2sub has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445700K) : snsbotvia_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445700K) : snstopvia_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445700K) : deepvia_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445956K) : fgetch_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445956K) : ctrgat_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445956K) : fgimp_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445956K) : emwihv_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445956K) : lbe_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (445956K) : alcustop_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (446212K) : nometfiller_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (446212K) : prboundary_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (446212K) : exchange0_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (446212K) : exchange0_pin has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (446212K) : exchange0_text has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (446212K) : exchange1_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (446468K) : exchange1_pin has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (446468K) : exchange1_text has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (446468K) : exchange2_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (446468K) : exchange2_pin has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (446468K) : exchange2_text has 0 polygons
